am,miss,love,need,joy,sadness,fear,childcare,dating1,dating2,familyfriends,supplies,working
I am…,I miss…,I love… ,I need…,I appreciate where I live.,"A ""just-in-case, goodbye"" video",Overwhelming anxiety,I feel guilty. He feels resentful.,This is different. ,Boyfriend of 4 yrs is driving me crazy. ,I'm trying to convince my mother not to go.,I don't understand the run on TP. ,Lucky to work from home. 
worried about my children's education.,you.,"her, still. ",to quit. ,I feel lucky.,We're on a break.,Getting sick is a ticking time bomb.,Grateful I don't have a small child. ,Only date option is to go hiking 6 ft apart.,First kiss with the love of my life.,My mother is trying at the best of times. ,I'm the one hoarding toilet paper. ,Hard to decide when to shower.
going to lose it. ,milestones.,my ex-husband ,structure. ,Dating the love of my life.,I feel low and all alone.,Called in sick with covid—was threatened.,I've been criticized for not wanting kids.,My 15yo can't hug her boyfriend. ,I'm bonkers for someone I just met.,"I end calls with “I love you."" He says it back.",I can go 10 days without bathing.,WFH and homeschooling is rough.
working from home. ,my students.,you now and all the time.,to wait a few. ,No one can see the dirt on my clothes.,Sending my child to daycare breaks my heart.,We can't visit her because of C19.,My children may suffer emotionally.,Wish I hugged him a bit tighter.,"My bf and I live in ""Shelter-In-Place"" counties.",My 83 yo father refuses to stay home!,Spent too much money on Etsy. ,Can never get away.
a nanny still working. ,my customers.,having my children home,a classroom to learn. ,I have an awesome dog.,A new mom heading back to work,The stress of life is gone.,Seeing how resilient my kids…,I'm unhappily married with a girlfriend. ,So much for eHarmony.,"Not sure if dying, or having a panic attack.",Feel guilty about all the supplies I have.,Nervous to be in healthcare.
in disbelief. ,my school.,"you, always. ",contact. ,I love having him home.,Grandma isn't doing well.,I'm terrified I'm going to let them down.,Loving the extra time with my kids.,An in-person hug is hard to beat.,Partner of 6 yrs ended things over the phone,My brother died of Covid never believing in it.,Took late G-ma's advice on war rationing. ,I'm up 20% in my stock portfolio.
a 61yo ER nurse recovering. ,my family.,"this lifestyle, as a shut-in. ",to get back to studying. ,I'm loving this time.,I won't be seeing my family for awhile.,I feel so worried about him.,I work from home and have a 3yo.,"When this is all over, he won’t be my bf. ",Love at first sight when we met in person. ,My wife's that employee who just complains.,Can’t find bread? Keto.,Glad my children have no interest in medicine.
angry my son refused service.,my pre-k students.,the quality time I have with my son. ,to reinforce science is real. ,I'm left with things that matter.,I miss my students.,What will happen if ventilators don't arrive?,Teachers aren’t babysitters. ,"He doesn't mean it, but it hurts like hell.",He dumped me for someone else. ,Lockdown mirrors my everyday life.,Stole masks for my ER doc gf.,Job won't let us work from home.
head over heels. ,my office buddies.,the time I get with my teens. ,answers.,The stress of life is gone.,It's hard not being able to hug my bf. ,Worried about parents who live miles away.,My wife is a super hero. ,Trying to figure out a way to end my affair,"This will truly be a ""friends first"" relationship. ",Predicting a baby boom...just saying! ,Hair—it's grey. I don't mind. ,I can't work from home.
fighting with myself.,touching paper.,I can avoid certain people. ,to come back.,This makes me relieved.,Built a dream home—husband left,The stress is killing me.,I feel I've failed this child before birth.,Living with my boyfriend is going really well.,Summer of mutually consensual love.,"My landlord is now a paranoid, sullen person. ",Worked up the courage to visit CVS! ,7-Eleven is forcing employees to work. 
conversing with telemarketers. ,running.,being alone. ,to sleep.,Plan on giving my family a big hug!,Before this I wasn't doing well.,I have panic attacks numerous times a day.,Resenting the cat,Wife distanced herself for 10yrs. ,I lost my love. I have died while I am living.,Virtual wine night via FaceTime! ,"Mom, blowing through TP—really?!",This introvert's dream
in a spiritual drowning.,people.,the quarantine. ,a break from them. ,I'm thankful to be employed.,He ruined my life.,I'm so full of anxiety I haven't slept.,I’ve enjoyed all the time with my baby.,I'm leaving flowers by her porch every day.,Nothing but time to communicate.,It's hard not seeing classmates.,Red wine. Fell asleep. Cleaning stains. ,I want to be back with my kinders so bad!
grateful to live alone.,my co-workers.,seeing friends briefly. ,more time to myself.,Now is as good of a time as ever.,Worried about my parents,Hate it!,I'm overwhelmed. ,When this is over we'll be pregnant. ,My therapist told me to put myself out there.,I can't believe the things my dad believes.  ,Mask = no sunburn on my nose,WFH eliminated my 5-6 hr commute. 
worried he'll get worse.,my 45-min commute.,time with my young kids. ,intimacy. ,We talked. Hadn't spoken in years.,Missing church and grandkids!,I don't know we'll get through.,I hate being at home with my 2yo. ,Glad I don't have to worry about dating.,We've been social distancing for 2yrs. ,I've lost people I thought were my friends. ,Mask = walking through a swarm of tiny insects,Virtual learning is so boring.
non-essential. Tough pill.,seeing our new granddaughter.,only seeing friends online. ,10x more willpower.,I've made a comeback.,Endless empty shelves,Worried for the mental health of my son.,No one ever cares about teachers. ,Relationship won't survive. I'm relieved.  ,I'll know by the end where things are going. ,I'm worried about my children's education. ,I’ve spent $600+ at Michael’s. ,I will leave nursing after Covid.
trying to get my loved one out of prison.,the gym.,being home alone. ,my friends to stop complaining.,Time for homebodies to shine.,"My ex was abusive, but I'm so lonely. ",Laid off & home.,There's no social distancing with a 1yo. ,The virus outside or the monster in my home,I kept my date. ,We're still socializing with our neighbors.,I'm part of the problem. Stockin TP.,Made my partner stay home—he may lose his job. 
not on good terms with my family. ,working outside home.,doing only what I want.,my work routine back. ,He's the sunshine of my life.,Feel like I'll be alone forever. ,Found out I have breast cancer.,"My 5yo: ""I hate the sickness"".",I wish I had pushed myself to date.,Learned love was possible.,I won’t see her before she has surgery.,Grocery shopping is like a scavenger hunt. ,Every work call features a child guest speaker.
pregnant and high risk. ,teaching.,family walks and bike rides.,just a little space. ,I've been cooking… a lot.,No job to go back to when this is over.,The anxiety will kill me.,I hope my kids remember this.,Super afraid I’m going to die alone.,The virus stopped me from cheating. ,Life will go on.,My Covid foods are licorice and Pringles. ,"No interruptions 8-12, 1-5, unless urgent. "
an introvert. Yay!,my one-year-old.,"you, Mama. ",to go shopping. ,I perfected the coconut cream pie!,My only friend doesn't call.,I'm scared.,My autistic son is in constant distress.,I'm flirting like crazy online.,Did not self-isolate to see a guy.,Your social media posts will fuel my demise.,I just rage-ate a whole head of lettuce.,"No fever? Come in! This is why, world! "
jealous of everyone stuck inside!,my friends.,cooking.,to get away from my wife. ,Finally found a well-supplied store.,Almost broke up over not social distancing,I wake up in a panic.,I love having my kids home.,I wish I had someone to hold me.,Got off dating apps pre-Covid. ,I want family connectedness to last.,Can’t wait to get my nails done.,I got promoted at work and feel bad.
grateful for the companionship.    ,my boyfriend. ,my wife of 36 years. ,their hugs. ,Grateful every day for my family,I struggle with anxiety. ,When I see her again she won't know me.,I did my daughter's homework.,He's the one. ,I was with the wrong person. ,2020 has made me hate people.,I got a bidet attachment for my toilet. ,I take naps between meetings.
